,InParanoid,InParanoidCore,OMA_Groups,OMA_Pairs,PANTHER8_LDO,RSD,EggNOG,Orthoinspector,Hieranoid_2,EnsemblCompara_v2,PANTHER8_all,Metaphors,PhylomeDB,Avg,HGT_flag
Q8NGX5,4,4,4,4,2,3,1,2,7,4,2,1,4,3.230769230769231,False
Q96T92,11,10,0,3,3,10,7,8,9,8,7,5,8,6.846153846153846,False
Q5XPI4,16,16,8,22,20,19,18,18,20,18,20,4,21,16.923076923076923,False
F8WFA3,1,1,18,18,1,1,1,1,1,30,1,1,1,3.8333333333333335,False
A7E2V4,3,3,2,6,9,2,1,1,3,1,19,1,3,2.9166666666666665,False
Q5VZ66,6,7,7,29,3,11,6,13,13,10,4,2,26,9.0,False
Q3LI54,0,0,2,0,1,0,1,0,0,8,1,1,1,0.5833333333333334,False
Q15672,5,15,6,6,3,7,6,10,8,6,3,9,7,6.333333333333333,False
Q8NHX9,7,6,8,22,7,19,21,19,6,19,19,16,6,13.461538461538462,False
P21589,34,33,46,43,36,28,40,30,34,29,33,43,14,34.07692307692308,True
P11908,3,4,49,3,8,44,18,12,7,31,10,17,22,14.916666666666666,False
O75865,1,1,1,2,1,22,8,12,13,30,7,9,7,7.0,False
Q9UH62,0,0,0,0,0,0,11,1,6,1,5,6,6,2.0833333333333335,False
Q8NGC6,0,0,0,0,0,0,1,5,11,4,2,0,13,1.9166666666666667,False
Q96JB1,3,27,0,3,21,24,22,22,19,1,21,23,19,15.76923076923077,False
P20132,4,24,21,53,14,42,12,14,12,12,36,41,12,22.846153846153847,False
Q15915,2,2,2,3,2,7,15,5,7,1,5,14,4,4.5,False
Q9HBI6,0,0,7,18,0,27,26,52,36,25,48,17,51,23.615384615384617,False
P09923,0,3,9,5,3,17,3,30,31,44,39,31,35,19.23076923076923,False
Q8NGA0,0,4,3,0,2,3,1,1,7,2,3,2,4,2.0833333333333335,False
Q8WXS8,4,4,3,4,4,2,3,5,5,23,7,10,5,4.666666666666667,False
Q8IYN0,0,0,0,16,0,28,9,0,28,0,4,13,21,9.153846153846153,False
Q9UNH5,5,8,2,4,5,20,7,5,11,20,24,7,7,8.416666666666666,False
Q0VF96,2,2,1,34,21,18,2,0,27,1,21,25,43,15.153846153846153,False
P49802,2,5,6,7,3,3,0,3,3,22,8,18,20,7.6923076923076925,False
Q8IWZ6,19,20,3,20,27,19,20,20,20,19,27,20,19,19.46153846153846,False
Q96PT4,1,1,1,1,1,1,18,16,16,18,28,13,29,11.076923076923077,False
Q9BRF8,47,48,48,48,56,45,46,46,47,47,56,40,41,47.30769230769231,True
Q5FWE3,7,7,1,1,52,0,1,0,7,0,45,1,1,2.3636363636363638,False
A6NDX5,1,1,5,5,15,0,1,1,33,2,23,14,23,7.583333333333333,False
Q30KQ1,1,0,2,2,1,1,1,0,1,1,1,1,1,1.0,False
Q8NFH4,2,2,3,3,12,12,2,2,2,2,12,12,3,5.3076923076923075,False
Q86T82,3,25,3,3,4,8,19,21,8,20,12,22,22,13.076923076923077,False
Q01629,0,1,0,0,0,7,6,4,4,7,2,6,9,3.5384615384615383,False
Q15014,0,2,11,11,0,26,3,10,5,19,8,8,8,7.083333333333333,False
Q8N9I9,2,2,3,4,20,22,9,23,6,24,20,8,24,12.846153846153847,False
Q9NT99,4,4,6,5,4,27,3,9,8,11,49,7,6,7.833333333333333,False
Q7Z6Z7,10,11,10,22,10,17,7,7,12,1,10,19,21,12.076923076923077,False
Q15669,1,1,1,1,1,1,1,1,1,9,6,23,24,2.1818181818181817,False
Q8NEX6,0,0,1,1,0,0,1,0,0,2,6,2,3,0.8333333333333334,False
Q8IUN9,2,2,1,8,4,6,3,4,11,13,6,51,49,5.454545454545454,False
Q5H9S7,7,8,9,8,6,5,5,6,7,6,6,6,7,6.615384615384615,False
Q9UJT1,19,20,6,21,18,19,18,20,20,18,18,19,18,18.0,False
Q6UX06,1,2,1,1,1,1,1,1,7,5,3,4,5,2.1666666666666665,False
Q6VVB1,1,1,1,2,44,1,1,1,1,2,44,6,6,2.090909090909091,False
Q9UN88,1,1,1,1,1,1,1,1,58,14,48,8,7,7.083333333333333,False
P32929,21,24,36,30,21,11,33,11,23,20,19,32,43,24.923076923076923,True
P54709,1,1,1,1,1,5,1,1,1,9,1,1,1,1.3333333333333333,False
Q6P9H4,2,19,1,1,10,7,2,6,3,4,10,4,6,4.666666666666667,False
Q12982,1,6,1,2,1,21,1,3,5,31,4,2,17,5.333333333333333,False
P04090,1,0,3,5,4,4,1,2,2,2,4,6,3,2.8461538461538463,False
A6NMK8,2,2,2,2,1,2,2,2,2,2,1,2,2,1.8461538461538463,False
P20472,0,0,2,1,3,1,3,0,1,2,3,23,19,2.9166666666666665,False
Q101R2,1,1,1,1,1,7,2,3,6,4,1,1,9,2.4166666666666665,False
P36896,2,2,8,1,1,8,1,4,3,6,2,13,14,5.0,False
O15111,1,7,1,1,5,5,16,3,2,24,5,13,23,8.153846153846153,False
Q8NGE3,1,1,4,3,2,1,1,1,8,2,2,4,7,2.4166666666666665,False
Q53GT1,1,1,1,1,1,1,1,1,22,52,17,19,5,5.916666666666667,False
Q9UIG5,0,0,0,1,0,0,1,0,0,0,0,0,0,0.15384615384615385,False
Q6ZWH5,8,7,11,15,36,5,6,5,9,1,36,18,6,8.272727272727273,False
P24001,0,0,0,0,1,0,1,0,0,0,1,0,1,0.3076923076923077,False
Q13156,1,1,38,38,1,38,26,26,20,18,9,16,18,19.23076923076923,False
Q17RY0,1,2,2,1,1,6,1,3,6,7,3,5,5,3.3076923076923075,False
Q5H9R7,2,19,2,21,8,16,9,9,8,9,8,10,5,9.692307692307692,False
Q8WY98,17,20,21,19,1,16,23,21,16,16,1,18,18,15.923076923076923,False
Q9H832,17,19,8,7,15,15,23,14,6,18,43,13,14,14.083333333333334,False
Q9NU02,1,1,0,26,25,51,1,0,0,25,25,6,48,16.076923076923077,False
Q8NHQ1,8,8,3,8,23,7,7,7,8,7,23,25,25,12.23076923076923,False
Q9UKT9,0,0,0,2,0,0,1,0,25,0,0,3,12,1.5,False
Q86Y25,1,1,1,1,12,1,1,1,29,12,12,16,17,6.333333333333333,False
P01854,2,1,2,1,1,1,5,3,2,3,1,5,9,2.25,False
ENSP00000389924,1,1,30,51,1,33,19,33,9,36,1,31,23,20.692307692307693,False
Q4G0X4,1,1,1,1,1,23,1,10,1,32,17,24,21,10.307692307692308,False
A6NEC2,19,19,17,59,1,51,30,41,12,42,1,20,29,26.23076923076923,True
P19105,0,0,7,2,6,3,9,18,53,28,6,16,15,9.166666666666666,False
Q14116,0,0,0,1,2,0,1,0,0,0,2,0,0,0.46153846153846156,False
O94925,4,7,8,5,41,42,40,39,43,42,41,41,40,30.23076923076923,True
P46937,3,8,2,7,23,3,12,5,6,3,23,4,8,5.545454545454546,False
Q9BVG3,2,3,3,3,9,1,2,1,25,2,50,23,17,7.583333333333333,False
Q86Z23,3,5,5,3,3,3,3,5,9,3,23,8,2,4.333333333333333,False
ENSP00000402874,1,1,1,1,1,1,1,1,1,1,1,16,13,2.0,False
Q8NEY8,0,0,1,1,1,1,1,0,5,1,1,1,0,1.0,False
Q5T3I0,20,10,12,11,16,17,6,6,5,19,18,7,10,12.076923076923077,False
Q8NG92,4,4,4,4,4,4,1,4,9,3,5,3,4,3.6666666666666665,False
O60543,3,3,2,3,6,7,9,1,2,2,5,6,2,3.5,False
Q9Y4C5,4,4,3,3,3,1,1,8,53,5,49,4,3,3.5454545454545454,False
Q86YS7,21,21,9,9,14,16,17,18,20,18,14,15,16,16.0,False
Q9NQ33,9,0,0,0,0,9,8,7,0,13,18,6,9,5.083333333333333,False
O75593,3,3,1,1,3,2,2,2,3,17,5,20,9,4.25,False
Q9BYI3,0,3,0,6,17,15,2,2,6,2,17,16,18,8.0,False
ENSP00000408431,3,3,3,3,1,4,1,3,3,3,1,3,3,2.6153846153846154,False
Q6ZSB3,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,False
Q5HYK7,1,2,12,19,2,7,4,16,5,5,12,3,15,7.923076923076923,False
P50990,2,2,2,2,3,2,4,2,2,26,6,6,4,3.0833333333333335,False
Q9BSA4,2,6,1,9,1,6,1,4,3,4,19,2,5,3.6666666666666665,False
Q8WUR7,39,6,53,51,4,39,18,18,12,42,28,35,30,28.846153846153847,True
O15524,0,1,1,2,1,0,2,0,0,10,5,4,6,1.8333333333333333,False
P02774,2,1,1,1,1,1,1,1,1,1,1,0,1,1.0,False
Q8NCI6,2,25,15,2,2,36,49,45,45,52,42,49,52,32.0,True
Q96MC2,21,21,23,23,22,21,22,21,22,20,22,28,22,21.666666666666668,False
Q9NUV7,1,0,26,18,0,52,2,28,4,36,26,25,25,15.916666666666666,False
Q9UJV8,2,2,25,2,2,22,22,1,16,19,16,15,16,12.307692307692308,False
P12821,3,2,5,6,45,45,2,45,4,48,45,5,47,23.23076923076923,False
O15061,0,0,0,0,1,0,0,0,0,0,20,5,0,0.5,False
Q2L6I5,1,0,7,1,0,1,1,3,0,0,0,1,1,0.75,False
Q16875,0,21,16,19,0,45,2,28,5,16,4,30,14,12.916666666666666,False
ENSP00000416693,1,1,1,1,1,1,1,1,1,1,1,4,6,1.6153846153846154,False
Q9GZT5,2,8,9,8,6,7,7,8,7,7,6,5,6,6.615384615384615,False
Q9NS23,1,6,0,2,1,5,4,4,5,9,4,4,3,3.25,False
Q8NI32,2,2,1,2,4,3,5,3,3,4,4,2,2,2.8461538461538463,False
Q9H3C7,7,6,4,3,7,6,6,6,6,6,7,6,6,5.846153846153846,False
Q9BQ61,8,9,5,4,1,6,7,7,8,6,1,7,2,5.461538461538462,False
Q9NPC4,2,10,2,2,20,23,10,23,23,24,20,24,23,15.846153846153847,False
Q5VZ46,6,6,2,1,10,4,1,1,2,4,24,4,1,3.5,False
ENSP00000404114,1,1,9,19,1,1,1,1,1,16,1,14,37,5.5,False
P63313,0,1,1,1,3,10,1,0,0,4,3,9,11,3.3846153846153846,False
Q96LW9,0,0,3,3,3,2,1,3,28,4,3,7,18,3.9166666666666665,False
Q8NE65,3,3,3,2,0,3,1,2,2,3,6,2,3,2.5384615384615383,False
A9YTQ3,2,34,0,0,1,1,2,5,1,4,3,4,1,2.0,False
P61803,5,6,12,8,6,5,5,5,5,5,6,6,4,5.5,False
Q8IZE3,4,4,2,2,4,3,4,3,4,16,5,3,23,4.5,False
O75629,0,5,19,19,18,6,5,18,20,18,45,18,18,13.666666666666666,False
Q14201,4,10,1,3,9,21,3,9,9,20,18,10,21,10.615384615384615,False
Q9NNZ6,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,False
Q9NRN5,2,1,1,1,1,1,1,1,7,4,3,5,5,2.1666666666666665,False
Q9NPR2,1,1,2,2,2,1,0,1,2,6,3,1,6,1.4545454545454546,False
Q96DD0,0,0,0,21,0,0,0,0,20,1,39,51,0,6.75,False
P07332,1,7,7,1,3,21,2,4,19,16,22,13,13,9.923076923076923,False
Q96GD4,0,2,24,3,2,23,18,6,32,1,6,28,27,13.23076923076923,False
Q9BYT3,8,8,3,19,8,7,7,8,52,20,31,19,44,15.166666666666666,False
Q9UKJ3,3,0,3,25,1,18,8,22,2,23,9,22,1,10.538461538461538,False
Q9BQT8,10,12,10,6,4,6,4,6,5,6,5,10,4,6.769230769230769,False
Q6PJE2,1,1,1,1,1,1,1,11,1,5,0,0,2,1.25,False
Q5TAG4,1,1,1,1,0,1,1,1,1,4,0,3,4,1.4615384615384615,False
P0C0E4,0,0,16,0,0,0,5,12,13,6,36,15,21,7.333333333333333,False
Q8NER1,1,1,1,2,1,1,3,5,1,5,15,1,1,1.9166666666666667,False
Q86V85,19,7,2,20,7,19,7,18,7,21,20,16,21,14.153846153846153,False
A3KFT3,0,0,3,0,0,0,1,0,7,3,3,7,5,2.230769230769231,False
Q9P0U3,1,14,3,2,6,13,3,5,16,13,5,9,7,7.461538461538462,False
Q6NUP7,23,24,24,23,23,21,22,22,23,21,23,22,48,22.583333333333332,False
A6NCI5,0,0,0,0,1,0,1,0,0,0,1,0,1,0.3076923076923077,False
Q96PE6,0,0,0,0,0,0,1,0,32,14,15,18,12,5.0,False
Q96E93,1,1,1,5,0,1,1,1,13,4,6,11,27,3.75,False
A6NKC0,1,1,1,1,1,1,1,0,0,3,0,0,0,0.7692307692307693,False
Q02223,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,False
O60291,2,20,1,9,1,17,9,15,17,24,14,16,16,12.384615384615385,False
Q9P2S5,14,16,20,20,13,12,13,13,17,12,13,15,32,14.833333333333334,False
Q13496,1,7,1,1,1,25,13,6,6,14,17,2,19,7.333333333333333,False
Q8NBN3,3,19,3,6,2,5,3,6,3,9,3,6,3,4.333333333333333,False
Q96CP6,23,24,4,3,12,22,21,12,22,21,12,12,14,15.538461538461538,False
Q9UD71,4,4,0,4,4,4,4,4,4,4,4,4,0,3.3846153846153846,False
Q9BSL1,3,3,7,6,5,3,3,3,5,3,7,3,4,4.230769230769231,False
Q49AA0,1,1,1,13,1,1,1,1,29,13,9,15,10,5.583333333333333,False
P09693,0,1,1,1,1,1,1,0,2,0,2,1,1,0.9230769230769231,False
Q7Z2H8,0,1,7,28,15,11,3,4,2,24,15,7,16,10.23076923076923,False
ENSP00000382186,0,0,0,0,10,10,1,10,10,10,16,0,18,6.538461538461538,False
Q92496,0,0,3,4,1,3,0,1,8,4,12,10,3,3.0833333333333335,False
Q9UJW9,5,0,0,5,0,5,1,0,5,1,0,3,4,2.230769230769231,False
Q8TCF1,13,16,14,13,13,14,14,13,7,14,10,15,15,13.153846153846153,False
O95971,0,0,0,0,0,0,1,0,0,0,0,0,0,0.07692307692307693,False
Q01469,0,1,9,3,0,0,7,7,0,11,4,4,4,3.8461538461538463,False
P48039,2,1,1,2,0,7,7,4,14,14,5,2,4,4.846153846153846,False
Q9H6U6,12,15,7,5,16,12,13,13,4,12,16,19,3,11.307692307692308,False
Q6UXI7,1,23,2,2,46,1,26,1,7,1,46,7,8,13.153846153846153,False
Q96SL8,1,0,1,1,10,1,1,1,30,12,10,14,11,5.25,False
Q96AY3,1,1,1,1,4,2,22,47,1,23,33,42,47,17.307692307692307,False
Q68CZ1,2,21,2,6,21,4,9,5,21,5,21,5,25,11.307692307692308,False
Q96EF0,6,22,11,6,12,21,10,11,11,25,11,15,14,13.461538461538462,False
P46926,2,10,40,21,32,43,34,29,32,21,32,32,33,27.76923076923077,True
Q9P0I2,4,4,11,6,4,3,3,3,3,3,4,4,3,3.6666666666666665,False
Q9BZV2,0,21,7,5,1,26,19,5,18,21,19,2,13,12.076923076923077,False
Q9GZV8,6,7,1,1,6,6,6,6,25,8,10,4,18,6.583333333333333,False
Q6UX41,0,0,7,0,0,0,1,9,8,4,3,10,11,4.076923076923077,False
Q5VZV4,3,0,0,0,2,0,1,0,0,3,2,2,3,1.2307692307692308,False
O95168,8,3,2,4,7,7,4,3,5,3,6,4,4,4.615384615384615,False
Q9BXD7,4,4,4,4,1,6,1,6,4,10,1,3,4,3.5,False
Q7RTT4,0,0,0,3,0,1,1,1,0,2,0,2,1,0.8461538461538461,False
Q6UWB1,0,0,1,0,2,0,1,0,0,0,9,8,12,1.75,False
Q92696,12,13,6,20,6,4,3,6,10,12,6,7,7,7.666666666666667,False
Q86VF7,7,8,2,2,2,2,1,3,1,6,4,22,3,3.4166666666666665,False
P41182,1,1,1,2,1,1,1,1,1,5,14,3,15,1.6363636363636365,False
P49683,6,2,1,2,1,6,2,2,12,4,3,6,6,3.4166666666666665,False
Q13330,2,3,8,9,1,8,1,2,4,2,1,1,4,3.5384615384615383,False
P53618,4,4,4,5,2,2,2,2,2,2,2,4,2,2.8461538461538463,False
Q8IZ02,6,6,6,24,19,22,19,22,21,18,19,22,22,17.384615384615383,False
P78318,4,1,13,24,0,10,1,9,5,9,4,7,6,5.75,False
Q9BXR0,18,18,32,29,17,11,42,13,13,17,17,27,28,20.0,False
A6NC51,2,2,4,3,3,8,4,2,29,8,13,16,25,7.5,False
P09488,2,3,6,0,0,5,22,20,15,29,45,41,43,17.76923076923077,False
Q53HV7,46,46,48,48,47,45,45,45,45,45,47,46,45,46.0,True
Q96NS1,1,1,16,1,1,23,9,11,11,21,32,14,15,10.333333333333334,False
Q6UXD1,0,0,3,3,14,0,1,0,0,3,14,0,1,1.0,False
Q9UGK8,17,9,19,49,13,9,20,12,8,1,36,41,40,21.076923076923077,False
Q15691,2,18,24,2,2,8,3,4,6,22,4,7,5,6.916666666666667,False
Q9UDX5,9,4,5,5,8,12,4,13,7,4,8,12,7,7.538461538461538,False
Q6P3R8,3,3,4,3,2,27,24,27,21,1,39,22,51,14.666666666666666,False
Q9BV86,3,7,16,15,4,5,3,6,5,5,4,4,3,4.454545454545454,False
Q13905,18,6,2,8,16,19,3,20,22,5,22,16,15,13.23076923076923,False
P19235,2,2,1,1,2,2,2,2,2,2,2,2,2,1.8461538461538463,False
Q86YQ2,3,3,4,3,4,3,1,3,3,3,20,1,2,2.75,False
Q9NR21,9,10,3,10,3,10,3,10,9,21,18,20,25,11.615384615384615,False
P47928,2,2,3,3,2,6,10,3,23,5,4,4,6,4.166666666666667,False
P52701,6,7,10,7,5,13,14,18,5,1,12,6,6,7.666666666666667,False
Q6ZVH7,3,4,1,1,1,2,3,21,2,8,19,12,52,6.416666666666667,False
Q6L8G5,1,1,33,36,0,1,1,1,1,59,3,29,1,9.0,False
Q2TAC6,21,23,7,5,2,16,6,17,15,19,21,21,15,14.461538461538462,False
Q9Y3D7,9,14,15,13,9,8,10,13,8,8,9,8,8,10.153846153846153,False
P17861,13,6,10,11,12,2,12,3,14,2,12,5,9,8.538461538461538,False
P01275,0,1,1,2,0,0,0,0,1,0,0,0,0,0.38461538461538464,False
P55040,2,1,2,3,1,3,1,7,3,21,8,17,21,6.923076923076923,False
O43602,2,3,4,3,49,11,9,8,8,8,49,3,16,6.818181818181818,False
P50402,1,1,2,1,1,4,1,1,1,1,1,4,1,1.5384615384615385,False
Q6PJG9,1,1,5,5,4,5,1,7,1,8,7,21,9,4.5,False
Q96B02,9,8,13,13,7,6,6,6,6,7,35,7,4,7.666666666666667,False
Q96LM5,8,3,1,1,1,8,8,8,1,8,1,8,8,4.923076923076923,False
Q9Y442,0,0,0,0,0,0,1,0,0,0,0,0,0,0.07692307692307693,False
Q01523,0,2,1,0,0,0,1,1,0,0,0,0,0,0.38461538461538464,False
Q7L3V2,0,0,0,0,0,0,1,0,0,0,25,7,7,1.25,False
P57727,2,2,0,3,5,9,8,1,49,21,23,5,6,7.083333333333333,False
Q2NKQ1,6,3,7,1,4,6,2,2,20,23,7,17,2,6.416666666666667,False
P43378,5,5,6,5,0,15,4,5,7,18,11,11,11,7.083333333333333,False
Q96EP9,1,33,3,51,1,0,21,46,20,44,43,45,46,27.23076923076923,True
Q8N1N4,1,0,0,0,0,0,1,0,28,4,19,8,23,4.666666666666667,False
P60953,4,4,5,6,3,3,8,8,7,22,7,7,9,5.916666666666667,False
Q92854,2,2,3,3,3,0,2,1,4,9,3,3,9,2.3636363636363638,False
Q5VT66,2,3,50,11,3,38,36,38,10,44,39,39,37,26.923076923076923,True
P36871,2,36,36,36,32,19,32,21,32,35,32,28,29,28.46153846153846,True
Q0D2J5,0,0,0,0,0,0,1,0,33,16,7,25,8,4.75,False
Q9H330,42,43,6,5,32,24,3,17,17,16,31,3,3,18.615384615384617,False
Q6UWY5,2,1,2,2,2,1,1,2,7,5,4,5,5,2.6666666666666665,False
O14514,2,2,3,3,7,1,11,2,2,8,7,4,8,4.083333333333333,False
P62753,8,10,12,10,5,4,12,6,5,7,5,6,3,7.153846153846154,False
Q01113,2,1,2,3,2,5,1,0,3,0,3,4,0,2.0,False
Q08AH3,0,0,1,0,0,2,46,48,52,45,45,47,52,26.0,True
ENSP00000414534,1,1,1,1,1,1,1,1,1,1,1,18,21,1.0,False
Q15437,3,3,24,20,2,19,6,7,5,19,7,5,4,9.538461538461538,False
Q0P6D2,8,2,2,8,4,5,5,6,5,6,4,5,3,4.846153846153846,False
P48029,2,3,3,3,3,2,2,3,31,5,41,2,2,5.083333333333333,False
ENSP00000227666,1,1,18,1,1,1,18,16,16,18,28,12,29,12.307692307692308,False
Q7L014,5,4,17,8,4,12,27,30,4,5,20,32,14,14.0,False
P14091,3,2,21,3,2,3,29,13,15,2,7,26,25,11.615384615384615,False
Q99871,11,5,12,11,7,9,6,4,9,8,7,10,9,8.307692307692308,False
P01732,3,1,1,2,1,1,1,1,1,1,1,3,3,1.5384615384615385,False
Q9HCH0,3,3,5,25,3,9,3,3,3,3,3,3,3,3.6666666666666665,False
Q8NE71,16,39,22,42,18,37,37,25,15,33,41,34,36,30.384615384615383,True
Q9BYB4,17,18,7,13,18,12,7,18,12,12,18,9,36,13.416666666666666,False
Q9BXT5,3,3,3,3,13,0,1,0,3,0,13,1,3,1.8181818181818181,False
Q10472,0,0,4,6,1,3,1,1,15,1,44,1,1,2.8333333333333335,False
Q8N8P6,0,0,0,0,1,0,1,0,0,0,1,0,0,0.23076923076923078,False
Q6ZVT0,22,6,2,1,4,18,26,17,7,22,21,18,24,14.461538461538462,False
Q96SN8,1,23,1,5,8,19,11,5,16,5,8,28,7,9.083333333333334,False
Q9Y3D9,2,5,6,6,2,1,3,1,16,1,2,1,1,2.5833333333333335,False
Q9UMS5,1,8,1,10,1,7,1,5,7,5,7,5,7,5.0,False
Q5TCZ1,3,4,3,5,16,14,7,15,9,9,16,9,8,9.076923076923077,False
Q9UP52,4,4,4,21,3,2,2,21,4,41,38,43,42,17.615384615384617,False
O95486,2,20,14,13,1,12,3,4,5,15,3,3,3,7.538461538461538,False
A8MW92,10,26,12,11,1,21,4,14,6,5,14,5,9,9.333333333333334,False
Q8N9F7,1,50,24,47,1,38,23,43,23,32,33,39,44,30.615384615384617,True
Q9BXC1,1,1,1,1,1,1,1,1,1,1,6,2,6,1.0909090909090908,False
P08311,1,1,1,2,2,7,1,3,52,8,3,9,10,4.0,False
Q92558,25,25,8,2,2,21,23,12,18,45,16,12,15,14.916666666666666,False
Q6ZS11,0,0,0,0,0,0,3,0,2,7,11,6,1,1.5833333333333333,False
Q9UJP4,1,1,1,1,6,21,0,0,20,4,21,20,19,8.846153846153847,False
Q9H6L5,0,0,0,0,0,7,0,0,7,1,8,0,6,2.230769230769231,False
Q6XUX3,8,7,7,7,7,5,5,5,7,23,22,2,7,6.090909090909091,False
Q9Y4C1,1,8,0,1,0,24,23,18,20,18,16,20,5,11.846153846153847,False
P78539,0,0,0,0,0,0,0,0,0,6,13,1,4,0.9166666666666666,False
Q6UWU4,1,1,2,2,1,1,2,1,2,1,1,1,1,1.3076923076923077,False
Q14565,18,22,20,16,14,30,16,16,20,20,15,30,25,20.153846153846153,False
Q7RTV3,6,6,2,2,6,6,6,6,7,10,11,4,7,6.076923076923077,False
Q6P2M8,1,1,26,23,49,52,1,9,31,22,49,33,38,25.76923076923077,True
Q8NGN7,4,4,2,3,3,2,1,2,8,0,4,2,6,2.75,False
Q6ZQT0,11,0,33,32,17,16,18,18,6,16,26,16,34,18.692307692307693,False
Q9H5N1,3,3,0,9,3,0,3,3,3,5,9,6,36,3.9166666666666665,False
O95704,2,8,2,8,2,1,1,4,8,10,6,6,6,4.923076923076923,False
Q9NQS1,6,2,3,4,8,6,6,2,6,6,8,6,8,5.461538461538462,False
Q9H171,0,0,0,0,0,0,1,0,0,0,0,1,1,0.23076923076923078,False
Q9UQQ1,7,9,2,24,3,50,3,39,39,51,37,31,30,25.0,True
P00338,5,4,52,4,1,50,34,26,31,36,32,32,37,26.46153846153846,True
O43448,3,10,1,53,2,46,43,24,26,33,35,36,39,27.0,True
Q9BY78,21,5,4,6,5,9,5,5,4,9,5,23,4,5.545454545454546,False
P05106,0,0,0,0,0,0,7,2,4,6,2,4,18,2.0833333333333335,False
Q96AQ1,1,1,3,1,1,10,1,0,12,9,1,11,11,4.769230769230769,False
P09871,1,1,1,2,0,0,9,6,0,5,22,5,3,2.75,False
Q99496,23,21,6,21,17,19,15,15,20,20,17,18,11,17.153846153846153,False
Q9NS69,3,4,7,4,15,3,1,4,4,3,15,13,5,6.230769230769231,False
Q5T5N4,4,4,4,3,1,3,4,3,3,3,1,4,3,3.076923076923077,False
Q9HAT8,3,4,5,1,1,4,1,4,3,3,1,1,1,2.4615384615384617,False
Q9BZG2,25,1,12,4,6,27,8,26,23,28,10,20,25,16.53846153846154,False
O60507,0,3,3,0,0,48,1,1,44,4,1,45,44,14.923076923076923,False
Q9BZL3,2,2,2,2,1,2,1,2,2,2,1,2,2,1.7692307692307692,False
Q9Y483,1,3,2,2,1,14,14,2,3,2,16,4,5,5.3076923076923075,False
A6NHG9,0,0,1,0,1,4,1,1,7,3,2,3,4,1.6666666666666667,False
O60304,3,3,3,3,3,13,1,2,27,3,3,12,8,4.75,False
Q569G3,0,0,0,0,1,0,1,0,0,0,1,0,0,0.23076923076923078,False
Q9UHE8,0,0,0,3,0,0,1,2,26,5,49,3,25,5.416666666666667,False
Q96T21,5,30,1,1,26,21,25,22,5,27,26,23,10,17.076923076923077,False
Q1HG44,0,2,2,8,3,7,1,2,1,3,3,2,2,2.3333333333333335,False
Q9Y4E6,5,17,6,17,4,11,14,10,18,12,28,18,44,13.333333333333334,False
Q8IV50,3,3,5,5,5,22,5,6,6,22,16,3,6,8.23076923076923,False
ENSP00000391019,1,1,1,1,1,21,17,16,21,17,19,15,22,11.76923076923077,False
Q9P0W8,5,5,7,6,2,5,5,5,5,5,2,5,5,4.769230769230769,False
P55822,6,3,14,13,13,1,12,3,9,10,13,17,14,9.846153846153847,False
Q12824,12,10,2,3,6,8,8,9,21,7,4,7,8,7.0,False
Q9NUK0,3,3,1,1,4,7,0,2,7,4,4,12,10,3.8333333333333335,False
P31749,3,3,2,2,13,19,16,15,36,21,13,39,21,15.615384615384615,False
A8MYP8,8,4,15,4,20,29,25,13,28,11,20,23,25,17.307692307692307,False
Q969P6,4,4,25,30,1,14,7,9,14,21,7,9,9,10.333333333333334,False
Q8NH19,4,1,6,3,2,1,1,1,6,2,2,3,3,2.6923076923076925,False
ENSP00000339052,1,1,1,1,1,1,1,1,1,1,1,7,8,1.0,False
Q6WRI0,2,2,1,1,2,1,1,0,1,1,7,18,6,2.0833333333333335,False
Q75V66,0,8,0,3,2,17,16,12,4,18,6,16,18,9.23076923076923,False
P17812,2,11,30,50,6,14,24,6,4,23,6,28,3,13.083333333333334,False
ENSP00000405465,1,1,1,1,1,1,1,1,1,15,1,1,1,1.0,False
P54922,53,21,20,21,5,18,19,19,19,20,10,19,34,18.75,False
P15085,1,1,8,1,29,17,44,35,13,48,29,38,36,23.076923076923077,False
ENSP00000341295,1,1,1,1,1,1,1,1,1,1,1,10,12,1.75,False
Q86YD3,4,4,4,4,1,4,4,4,4,4,1,4,5,3.6153846153846154,False
ENSP00000341823,1,1,1,1,1,1,1,1,1,1,1,0,18,0.9166666666666666,False
Q9P275,24,20,0,9,1,22,13,12,7,24,10,16,16,13.384615384615385,False
Q8NH55,2,2,5,2,0,1,1,1,3,4,11,1,2,2.0,False
Q6A555,32,2,28,32,1,1,1,1,18,37,8,51,52,20.307692307692307,False
Q5TA50,4,3,4,5,0,16,2,2,15,5,7,14,14,7.0,False
A6NDI0,0,0,4,0,0,0,1,1,28,5,50,11,13,5.25,False
Q8WXQ8,1,1,8,2,0,0,26,37,13,51,28,41,39,19.0,False
Q93062,2,2,2,2,22,23,21,19,0,25,22,7,24,13.153846153846153,False
Q8NGX6,3,3,3,3,3,2,1,2,9,2,3,7,5,3.0833333333333335,False
Q8WYR4,21,21,25,26,22,17,16,17,16,1,43,18,18,18.166666666666668,False
P17032,0,0,0,1,9,0,1,0,32,15,8,15,9,4.833333333333333,False
